phi(digree),phi(radians),u,M
75.68284142,1.32091477,-0.014389603,432.0288949
75.72786393,1.321700561,-0.014401454,432.4095755
75.77288644,1.322486352,-0.014413271,432.7891232
75.81790895,1.323272143,-0.014425055,433.1675363
75.86293147,1.324057934,-0.014436805,433.5448133
75.90795398,1.324843725,-0.014448522,433.9209524
75.95297649,1.325629516,-0.014460206,434.2959521
75.997999,1.326415307,-0.014471856,434.6698106
76.04302151,1.327201099,-0.014483473,435.0425263
76.08804402,1.32798689,-0.014495056,435.4140977
76.13306653,1.328772681,-0.014506606,435.784523
76.17808904,1.329558472,-0.014518122,436.1538006
76.22311156,1.330344263,-0.014529604,436.5219288
76.26813407,1.331130054,-0.014541053,436.8889061
76.31315658,1.331915845,-0.014552468,437.2547308
76.35817909,1.332701636,-0.014563849,437.6194012
76.4032016,1.333487427,-0.014575197,437.9829157
76.44822411,1.334273218,-0.014586511,438.3452727
76.49324662,1.335059009,-0.014597791,438.7064704
76.53826913,1.3358448,-0.014609037,439.0665073
76.58329165,1.336630591,-0.014620249,439.4253818
76.62831416,1.337416382,-0.014631428,439.7830921
76.67333667,1.338202173,-0.014642573,440.1396367
76.71835918,1.338987964,-0.014653683,440.4950138
76.76338169,1.339773755,-0.01466476,440.849222
76.8084042,1.340559547,-0.014675803,441.2022594
76.85342671,1.341345338,-0.014686812,441.5541245
76.89844922,1.342131129,-0.014697786,441.9048156
76.94347174,1.34291692,-0.014708727,442.2543311
76.98849425,1.343702711,-0.014719634,442.6026693
77.03351676,1.344488502,-0.014730506,442.9498286
77.07853927,1.345274293,-0.014741345,443.2958074
77.12356178,1.346060084,-0.014752149,443.640604
77.16858429,1.346845875,-0.014762919,443.9842168
77.2136068,1.347631666,-0.014773655,444.326644
77.25862931,1.348417457,-0.014784357,444.6678842
77.30365183,1.349203248,-0.014795024,445.0079356
77.34867434,1.349989039,-0.014805657,445.3467966
77.39369685,1.35077483,-0.014816256,445.6844656
77.43871936,1.351560621,-0.01482682,446.0209408
77.48374187,1.352346412,-0.01483735,446.3562208
77.52876438,1.353132203,-0.014847846,446.6903037
77.57378689,1.353917995,-0.014858307,447.0231881
77.6188094,1.354703786,-0.014868734,447.3548722
77.66383192,1.355489577,-0.014879126,447.6853543
77.70885443,1.356275368,-0.014889484,448.014633
77.75387694,1.357061159,-0.014899807,448.3427064
77.79889945,1.35784695,-0.014910096,448.6695731
77.84392196,1.358632741,-0.01492035,448.9952312
77.88894447,1.359418532,-0.01493057,449.3196792
77.93396698,1.360204323,-0.014940755,449.6429155
77.97898949,1.360990114,-0.014950905,449.9649384
78.02401201,1.361775905,-0.014961021,450.2857462
78.06903452,1.362561696,-0.014971102,450.6053373
78.11405703,1.363347487,-0.014981148,450.9237102
78.15907954,1.364133278,-0.01499116,451.240863
78.20410205,1.364919069,-0.015001137,451.5567942
78.24912456,1.36570486,-0.015011079,451.8715022
78.29414707,1.366490651,-0.015020986,452.1849853
78.33916958,1.367276443,-0.015030858,452.4972418
78.3841921,1.368062234,-0.015040695,452.8082701
78.42921461,1.368848025,-0.015050498,453.1180686
78.47423712,1.369633816,-0.015060266,453.4266357
78.51925963,1.370419607,-0.015069998,453.7339696
78.56428214,1.371205398,-0.015079696,454.0400688
78.60930465,1.371991189,-0.015089359,454.3449315
78.65432716,1.37277698,-0.015098987,454.6485563
78.69934967,1.373562771,-0.01510858,454.9509413
78.74437219,1.374348562,-0.015118137,455.252085
78.7893947,1.375134353,-0.01512766,455.5519858
78.83441721,1.375920144,-0.015137148,455.8506419
78.87943972,1.376705935,-0.0151466,456.1480518
78.92446223,1.377491726,-0.015156017,456.4442138
78.96948474,1.378277517,-0.0151654,456.7391262
79.01450725,1.379063308,-0.015174747,457.0327875
79.05952976,1.379849099,-0.015184058,457.3251959
79.10455228,1.380634891,-0.015193335,457.6163498
79.14957479,1.381420682,-0.015202576,457.9062477
79.1945973,1.382206473,-0.015211782,458.1948878
79.23961981,1.382992264,-0.015220953,458.4822685
79.28464232,1.383778055,-0.015230088,458.7683881
79.32966483,1.384563846,-0.015239188,459.0532451
79.37468734,1.385349637,-0.015248253,459.3368378
79.41970985,1.386135428,-0.015257282,459.6191644
79.46473237,1.386921219,-0.015266276,459.9002235
79.50975488,1.38770701,-0.015275235,460.1800133
79.55477739,1.388492801,-0.015284158,460.4585323
79.5997999,1.389278592,-0.015293045,460.7357786
79.64482241,1.390064383,-0.015301897,461.0117508
79.68984492,1.390850174,-0.015310714,461.2864472
79.73486743,1.391635965,-0.015319495,461.5598661
79.77988994,1.392421756,-0.01532824,461.8320059
79.82491246,1.393207547,-0.01533695,462.102865
79.86993497,1.393993339,-0.015345624,462.3724416
79.91495748,1.39477913,-0.015354263,462.6407342
79.95997999,1.395564921,-0.015362866,462.9077412
80.0050025,1.396350712,-0.015371433,463.1734608
80.05002501,1.397136503,-0.015379965,463.4378914
80.09504752,1.397922294,-0.015388461,463.7010315
80.14007004,1.398708085,-0.015396921,463.9628792
80.18509255,1.399493876,-0.015405346,464.2234331
80.23011506,1.400279667,-0.015413734,464.4826915
80.27513757,1.401065458,-0.015422087,464.7406527
80.32016008,1.401851249,-0.015430404,464.997315
80.36518259,1.40263704,-0.015438686,465.2526769
80.4102051,1.403422831,-0.015446931,465.5067367
80.45522761,1.404208622,-0.015455141,465.7594927
80.50025013,1.404994413,-0.015463314,466.0109433
80.54527264,1.405780204,-0.015471452,466.2610869
80.59029515,1.406565995,-0.015479554,466.5099219
80.63531766,1.407351787,-0.01548762,466.7574465
80.68034017,1.408137578,-0.01549565,467.0036591
80.72536268,1.408923369,-0.015503644,467.2485581
80.77038519,1.40970916,-0.015511602,467.4921419
80.8154077,1.410494951,-0.015519524,467.7344088
80.86043022,1.411280742,-0.01552741,467.9753571
80.90545273,1.412066533,-0.01553526,468.2149853
80.95047524,1.412852324,-0.015543074,468.4532917
80.99549775,1.413638115,-0.015550851,468.6902746
81.04052026,1.414423906,-0.015558593,468.9259324
81.08554277,1.415209697,-0.015566298,469.1602634
81.13056528,1.415995488,-0.015573968,469.393266
81.17558779,1.416781279,-0.015581601,469.6249386
81.22061031,1.41756707,-0.015589198,469.8552796
81.26563282,1.418352861,-0.015596759,470.0842872
81.31065533,1.419138652,-0.015604283,470.3119599
81.35567784,1.419924443,-0.015611771,470.5382959
81.40070035,1.420710235,-0.015619223,470.7632937
81.44572286,1.421496026,-0.015626639,470.9869516
81.49074537,1.422281817,-0.015634019,471.209268
81.53576788,1.423067608,-0.015641362,471.4302412
81.5807904,1.423853399,-0.015648669,471.6498696
81.62581291,1.42463919,-0.015655939,471.8681515
81.67083542,1.425424981,-0.015663173,472.0850853
81.71585793,1.426210772,-0.015670371,472.3006694
81.76088044,1.426996563,-0.015677532,472.5149021
81.80590295,1.427782354,-0.015684657,472.7277818
81.85092546,1.428568145,-0.015691746,472.9393067
81.89594797,1.429353936,-0.015698798,473.1494754
81.94097049,1.430139727,-0.015705813,473.3582861
81.985993,1.430925518,-0.015712792,473.5657372
82.03101551,1.431711309,-0.015719735,473.7718271
82.07603802,1.4324971,-0.015726641,473.976554
82.12106053,1.433282891,-0.01573351,474.1799165
82.16608304,1.434068683,-0.015740343,474.3819127
82.21110555,1.434854474,-0.015747139,474.5825412
82.25612806,1.435640265,-0.015753899,474.7818002
82.30115058,1.436426056,-0.015760622,474.979688
82.34617309,1.437211847,-0.015767309,475.1762032
82.3911956,1.437997638,-0.015773959,475.3713439
82.43621811,1.438783429,-0.015780572,475.5651087
82.48124062,1.43956922,-0.015787149,475.7574957
82.52626313,1.440355011,-0.015793689,475.9485035
82.57128564,1.441140802,-0.015800192,476.1381302
82.61630815,1.441926593,-0.015806659,476.3263744
82.66133067,1.442712384,-0.015813088,476.5132344
82.70635318,1.443498175,-0.015819481,476.6987084
82.75137569,1.444283966,-0.015825838,476.8827949
82.7963982,1.445069757,-0.015832157,477.0654923
82.84142071,1.445855548,-0.01583844,477.2467988
82.88644322,1.446641339,-0.015844686,477.4267129
82.93146573,1.447427131,-0.015850895,477.6052329
82.97648824,1.448212922,-0.015857067,477.7823571
83.02151076,1.448998713,-0.015863203,477.958084
83.06653327,1.449784504,-0.015869301,478.1324118
83.11155578,1.450570295,-0.015875363,478.3053389
83.15657829,1.451356086,-0.015881388,478.4768638
83.2016008,1.452141877,-0.015887376,478.6469847
83.24662331,1.452927668,-0.015893327,478.8156999
83.29164582,1.453713459,-0.015899241,478.983008
83.33666833,1.45449925,-0.015905118,479.1489071
83.38169085,1.455285041,-0.015910958,479.3133958
83.42671336,1.456070832,-0.015916761,479.4764722
83.47173587,1.456856623,-0.015922528,479.6381349
83.51675838,1.457642414,-0.015928257,479.7983821
83.56178089,1.458428205,-0.015933949,479.9572122
83.6068034,1.459213996,-0.015939604,480.1146235
83.65182591,1.459999787,-0.015945222,480.2706145
83.69684842,1.460785579,-0.015950803,480.4251835
83.74187094,1.46157137,-0.015956347,480.5783288
83.78689345,1.462357161,-0.015961854,480.7300487
83.83191596,1.463142952,-0.015967324,480.8803417
83.87693847,1.463928743,-0.015972757,481.0292062
83.92196098,1.464714534,-0.015978152,481.1766403
83.96698349,1.465500325,-0.01598351,481.3226426
84.012006,1.466286116,-0.015988832,481.4672114
84.05702851,1.467071907,-0.015994116,481.610345
84.10205103,1.467857698,-0.015999363,481.7520418
84.14707354,1.468643489,-0.016004573,481.8923002
84.19209605,1.46942928,-0.016009745,482.0311184
84.23711856,1.470215071,-0.01601488,482.1684949
84.28214107,1.471000862,-0.016019979,482.304428
84.32716358,1.471786653,-0.016025039,482.4389162
84.37218609,1.472572444,-0.016030063,482.5719576
84.4172086,1.473358235,-0.016035049,482.7035507
84.46223112,1.474144027,-0.016039999,482.8336939
84.50725363,1.474929818,-0.01604491,482.9623855
84.55227614,1.475715609,-0.016049785,483.0896238
84.59729865,1.4765014,-0.016054622,483.2154073
84.64232116,1.477287191,-0.016059422,483.3397342
84.68734367,1.478072982,-0.016064185,483.462603
84.73236618,1.478858773,-0.01606891,483.584012
84.77738869,1.479644564,-0.016073598,483.7039595
84.82241121,1.480430355,-0.016078248,483.8224439
84.86743372,1.481216146,-0.016082862,483.9394636
84.91245623,1.482001937,-0.016087437,484.0550169
84.95747874,1.482787728,-0.016091976,484.1691022
85.00250125,1.483573519,-0.016096477,484.2817178
85.04752376,1.48435931,-0.01610094,484.3928622
85.09254627,1.485145101,-0.016105366,484.5025335
85.13756878,1.485930892,-0.016109755,484.6107303
85.1825913,1.486716683,-0.016114106,484.7174508
85.22761381,1.487502475,-0.01611842,484.8226935
85.27263632,1.488288266,-0.016122697,484.9264566
85.31765883,1.489074057,-0.016126935,485.0287386
85.36268134,1.489859848,-0.016131137,485.1295378
85.40770385,1.490645639,-0.016135301,485.2288525
85.45272636,1.49143143,-0.016139427,485.3266811
85.49774887,1.492217221,-0.016143516,485.423022
85.54277139,1.493003012,-0.016147567,485.5178736
85.5877939,1.493788803,-0.016151581,485.6112341
85.63281641,1.494574594,-0.016155557,485.7031019
85.67783892,1.495360385,-0.016159496,485.7934754
85.72286143,1.496146176,-0.016163397,485.882353
85.76788394,1.496931967,-0.016167261,485.969733
85.81290645,1.497717758,-0.016171087,486.0556138
85.85792896,1.498503549,-0.016174875,486.1399937
85.90295148,1.49928934,-0.016178626,486.222871
85.94797399,1.500075131,-0.016182339,486.3042442
85.9929965,1.500860923,-0.016186015,486.3841116
86.03801901,1.501646714,-0.016189653,486.4624716
86.08304152,1.502432505,-0.016193253,486.5393224
86.12806403,1.503218296,-0.016196816,486.6146626
86.17308654,1.504004087,-0.016200341,486.6884903
86.21810905,1.504789878,-0.016203828,486.7608041
86.26313157,1.505575669,-0.016207278,486.8316022
86.30815408,1.50636146,-0.01621069,486.9008829
86.35317659,1.507147251,-0.016214064,486.9686448
86.3981991,1.507933042,-0.016217401,487.034886
